gare;city
HOMBOURG (CHAPELLE);HOMBOURG-BUDANGE
SAINT-LÉONARD;SAINT-LÉONARD
PERL GARE DB;PERL GARE DB
SARRE-UNION;SARRE-UNION
SARRALBE CENTRE;SARRALBE
SARRALBE;SARRALBE
REVIGNY;REVIGNY-SUR-ORNAIN
PAGNY-SUR-MOSELLE;PAGNY-SUR-MOSELLE
GRAMAT;GRAMAT
TOULOUSE-MATABIAU;TOULOUSE
CASTELSARRASIN;CASTELSARRASIN
ST-SULPICE-SUR-LÈZE;ST-SULPICE-SUR-LÈZE
LUCHON-RICHELIEU;LUCHON-RICHELIEU
LUCHON;BAGNÈRES-DE-LUCHON
LATOUR DE CAROL;ENVEITG
WAMBRECHIES;WAMBRECHIES
RUE;RUE
HIRSON-ECOLES;HIRSON
LISON;SAINTE-MARGUERITE-D'ELLE
PONTORSON-MT-ST-MICHEL;PONTORSON-MT-ST-MICHEL
VIRE-CENTRE;VIRE-CENTRE
FLERS;FLERS
BRIOUZE;BRIOUZE
SURDON;LE CHÂTEAU-D'ALMENÊCHES
SERQUIGNY;SERQUIGNY
LE MONT ST MICHEL;LE MONT ST MICHEL
ROUTOT-PLACE-DE-MAIRIE;ROUTOT-PLACE-DE-MAIRIE
ST-GILLES-CROIX-DE-VIE;SAINT-GILLES-CROIX-DE-VIE
LAON-GARE-ROUTIÈRE-POMA;LAON-GARE-ROUTIÈRE-POMA
RIBÉCOURT;RIBÉCOURT-DRESLINCOURT
PRISSÉ-LA-CHARRIÈRE;PRISSÉ-LA-CHARRIÈRE
VALENCE;VALENCE
LYON-GORGE-DE-LOUP;LYON
GRANDRIS-CENTRE;GRANDRIS-CENTRE
POULE-MAIRIE;POULE-MAIRIE
MOREZ LYCÉE;MOREZ
SAINT-MARTIN-D'HÈRES;SAINT-MARTIN-D'HÈRES
PONT-DE-BEAUVOISIN;LE PONT-DE-BEAUVOISIN
ST-BRIEUC;SAINT-BRIEUC
LAMBALLE;LAMBALLE
ST-VIT;SAINT-VIT
VILLERS-LES-POTS;VILLERS-LES-POTS
NEUILLY-LÈS-DIJON;NEUILLY-LÈS-DIJON
ST-RAMBERT-EN-BUGEY;SAINT-RAMBERT-EN-BUGEY
VIRIEU-LE-GRAND-BELLEY;VIRIEU-LE-GRAND
MÂCON-LOCHÉ-TGV;MACON
LYON-ST-PAUL-LA-FEUILÉE;LYON-ST-PAUL-LA-FEUILÉE
VIENNE-GARE-ROUTIÈRE;VIENNE-GARE-ROUTIÈRE
ST-PIERRE-D'ALBIGNY;SAINT-PIERRE-D'ALBIGNY
ST-PIERRE-DE-CHANDIEU-R;ST-PIERRE-DE-CHANDIEU-R
RIVES;RIVESALTES
CULOZ;CULOZ
RUMILLY;RUMILLY
TERNAY-BARBIÈRES;TERNAY-BARBIÈRES
MONTMÉLIAN;MONTMÉLIAN
ST CHRISTOPHE / NAIS C.;ST CHRISTOPHE / NAIS C.
COURTALAIN-ST-PELLERIN;SAINT-PELLERIN
MONDOUBLEAU-RUE-LEROY;MONDOUBLEAU-RUE-LEROY
MONTARGIS-OT;MONTARGIS-OT
SANCERRE-PORTE-CESAR;SANCERRE-PORTE-CESAR
;TOURNAN-EN-BRIE
ISSOUDUN-JARDIN;ISSOUDUN-JARDIN
POITIERS-GARE-ROUTIÈRE;POITIERS-GARE-ROUTIÈRE
ROMORANTIN-LYCÉE-DE-F;ROMORANTIN-LYCÉE-DE-F
EGUZON;ÉGUZON-CHANTÔME
ST-AIGNAN-LEP;ST-AIGNAN-LEP
ST-AIGNAN-PL-WILSON;ST-AIGNAN-PL-WILSON
CHÂTEAUROUX-CHARMILLES;CHÂTEAUROUX-CHARMILLES
MONTBAZON;MONTBAZON
TRUYES-ST-BLAISE;TRUYES-ST-BLAISE
TOURS LYCEE GRANDMONT;TOURS LYCEE GRANDMONT
REIGNAC-BOURG-DU-FAU;REIGNAC-BOURG-DU-FAU
TRUYES-PL-DU-SOUVENIR;TRUYES-PL-DU-SOUVENIR
VEIGNÉ;VEIGNÉ
CHÂTEAUROUX-L-GIRAUDOUX;CHÂTEAUROUX-L-GIRAUDOUX
VIERZON-MÉDIATHÈQUE;VIERZON-MÉDIATHÈQUE
LIMERAY;LIMERAY
DOURDAN;DOURDAN
VENDÔME-VILLIERS-S-LOIR;VENDÔME-VILLIERS-S-LOIR
RAMBERVILLERS (11 NOV);RAMBERVILLERS (11 NOV)
MOYEN;MOYEN
RAMBERVILLERS;RAMBERVILLERS
GÉRARDMER LA MAUSELAINE;GÉRARDMER LA MAUSELAINE
LA-BRESSE (PL CHAMPTEL);LA-BRESSE (PL CHAMPTEL)
LA BRESSE LE LISPACH;LA BRESSE LE LISPACH
ST-LOUIS-57-INCLINÉ;ST-LOUIS-57-INCLINÉ
LUGNY;LUGNY
VERNEUIL-SUR-SERRE;VERNEUIL-SUR-SERRE
WOERTH RHEIN;WOERTH RHEIN
VENTIMIGLIA-STAZIONE;VENTIMIGLIA-STAZIONE
TRIER-HBF (TRÈVES);TRIER-HBF (TRÈVES)
RODANGE;RODANGE
MULLHEIM-BADEN-BF;MULLHEIM-BADEN-BF
MUNSTER;MUHLBACH-SUR-MUNSTER
MUTZIG-PASSAGE-A-NIVEAU;MUTZIG-PASSAGE-A-NIVEAU
PUYOÔ;PUYOÔ
MORCENX;MORCENX
PAUILLAC;PAUILLAC
LE-VERDON;LE-VERDON
ST-JEAN-PIED-DE-PORT;SAINT-JEAN-PIED-DE-PORT
CAMBO-LES-BAINS;CAMBO-LES-BAINS
HENDAYE;HENDAYE
ST-EMILION;SAINT-ÉMILION
SARLAT;SARLAT-LA-CANEDA
LANGON;LANGON
VOREY;VOREY
TONNERRE;TONNERRE
LES LAUMES-ALÉSIA;VENAREY-LES-LAUMES
NEVERS-LE-BANLAY;NEVERS-LE-BANLAY
VESOUL;VESOUL
VITRÉ;VITRE
VANNES;VANNES
ROSPORDEN;ROSPORDEN
MORLAIX;MORLAIX
LA FOREST;LA FOREST-LANDERNEAU
TOURY;TOURY
CHÂTEAU-GAILLARD;SANTILLY
LA VERRIÈRE;VERRIERE (LA )
VERSAILLES-CHANTIERS;VERSAILLES
GIVET;GIVET
NOUZONVILLE;NOUZONVILLE
SEDAN;SEDAN
VAUVERT;VAUVERT
SAILLAT-CHASSENON;SAILLAT-SUR-VIENNE
POMPADOUR;ARNAC-POMPADOUR
PONT-ST-VINCENT;PONT-SAINT-VINCENT
LAISSAC-FOIRAIL;LAISSAC-FOIRAIL
RANG DU FL. VERTON BER.;MOUGINS
MOUSCRON / MOESKROEN;MOUSCRON / MOESKROEN
VALENCIENNES;VALENCIENNES
ST POL SUR TERNOISE;ST POL SUR TERNOISE
SABLÉ-SUR-SARTHE;SABLE-SUR-SARTHE
PERSAN-BEAUMONT;PERSAN
ST-JUST-SNCF;ST-JUST-SNCF
LE TRÉPORT-MERS-LES-B;LE TRÉPORT-MERS-LES-B
SAINTES;SAINTES
ROCHEFORT;SAINT-BONNET-DE-ROCHEFORT
ST-MARIENS-ST-YZAN;SAINT-YZAN-DE-SOUDIAC
TOULON;TOULON
ST-RAPHAËL-VALESCURE;SAINT-RAPHAEL
SOSPEL;SOSPEL
TOUET-DE-L'ESCARÈNE;TOUËT-DE-L'ESCARÈNE
MIRAMAS;MIRAMAS
SISTERON;SISTERON
MARTIGUES;MARTIGUES
WILLER-SUR-THUR;WILLER-SUR-THUR
ETAPLES LE TOUQUET;ETAPLES
TOURCOING;TOURCOING
ST OMER;ST OMER
VERNON-GIVERNY;VERNON
MONTIVILLIERS;MONTIVILLIERS
ROLLEVILLE;ROLLEVILLE
YVETOT;YVETOT
ST-LÔ;SAINT-LOUIS
ST-MALO;SAINT-MALO
PLOUARET-TRÉGOR;PLOUARET
PAIMPOL;PAIMPOL
ST-NAZAIRE;SAINT-NAZAIRE
SAVENAY;SAVENAY
STE-PAZANNE;SAINTE-PAZANNE
PORNIC;PORNICHET
SUCÉ-SUR-ERDRE;SUCÉ-SUR-ERDRE
NORT-SUR-ERDRE;NORT-SUR-ERDRE
VOVES;VOVES
VALLON-EN-SULLY;VALLON-EN-SULLY
COUTRAS;COUTRAS
PESSAC;PESSAC
MARMANDE;MARMANDE
ST-JUNIEN;SAINT-JUNIEN
SAINT-CYPRIEN-ARÈNES;SAINT-CYPRIEN-ARÈNES
DURTOL-NOHANENT;DURTOL
LE LIORAN;LAVEISSIÈRE
SÈTE;SETE
ORANGE;ORANGE
CARPENTRAS;CARPENTRAS
MARSEILLE-BLANCARDE;MARSEILLE
PIERRELATTE;PIERRELATTE
ST-ETIENNE-CHÂTEAUCREUX;SAINT-ETIENNE
SATHONAY-RILLIEUX;RILLIEUX-LA-PAPE
TASSIN;TASSIN-LA-DEMI-LUNE
MONTBÉLIARD-VILLE;MONTBÉLIARD-VILLE
