gare;city
ROMORANTIN (VOIE ÉTROITE);ROMORANTIN-LANTHENAY
FAUBOURG-D'ORLÉANS;ROMORANTIN-LANTHENAY
LA FERTÉ-SUR-CHIERS;LA FERTÉ-SUR-CHIERS
CHÂLONS-EN-CHAMPAGNE;CHALONS-EN-CHAMPAGNE
ST-DIZIER;SAINT-DIZIER
JOINVILLE;JOINVILLE
CHAUMONT;CHAUMONT
BAR-SUR-SEINE;BAR-SUR-SEINE
TROYES;SAINT-JULIEN-LES-VILLAS
BAYEL-EGLISE;BAYEL-EGLISE
VENDEUVRE (AUBE);VENDEUVRE
BRICON(LA POSTE);BRICON(LA POSTE)
ST-FLORENTIN-VERGIGNY;VERGIGNY
LAROCHE-MIGENNES;MIGENNES
ROMILLY-SUR-SEINE;ROMILLY-SUR-SEINE
NOGENT-SUR-SEINE;NOGENT-SUR-SEINE
CHARLEVILLE-MÉZIÈRES;CHARLEVILLE-MEZIERES
FISMES;FISMES
AILLEVILLERS;CORBENAY
LE LOCLE;LE LOCLE
LE VALDAHON;VALDAHON
LONS-LE-SAUNIER;LONS-LE-SAUNIER
MOUCHARD;MOUCHARD
DOMPIERRE-HALTE-ROUT.;DOMPIERRE-HALTE-ROUT.
CHAMPAGNOLE;CHAMPAGNOLE
ANDELOT;ANDELOT-EN-MONTAGNE
ALÈS;ALES
LA BASTIDE-ST-LAURENT;LA BASTIDE-PUYLAURENT
LANGOGNE;LANGOGNE
MILLAU;MILLAU
MENDE;MENDE
CARCASSONNE;CARCASSONNE
LIMOUX;LIMOUX
BÉDARIEUX;BÉDARIEUX
GUÉRET;GUERET
TULLE;TULLE
EGLETONS;ÉGLETONS
BORT-LES-ORGUES;BORT-LES-ORGUES
NANCY-VILLE;NANCY
MARTIGNY-LES-B-THIEBAUT;MARTIGNY-LES-B-THIEBAUT
DAMBLAIN EGLISE;DAMBLAIN
CONTREXÉVILLE;CONTREXÉVILLE
VITTEL;VITTEL
CHARMES (VOSGES);CHARMES
IGNEY (CENTRE);IGNEY
SARREBOURG;SARREBOURG
LONGUYON;LONGUYON
MORHANGE;MORHANGE
LONGUYON (COLLÈGE);LONGUYON
FÉNÉTRANGE (GENDARM.);FÉNÉTRANGE (GENDARM.)
LOUDREFING;LOUDREFING
SARREBOURG (PLACE MATH);SARREBOURG
SARREBOURG-LP-MESSMER;SARREBOURG-LP-MESSMER
NEUFCHÂTEAU;NEUFCHÂTEAU
TOUL;TOULOUSE
ALLAMPS-ESAT;ALLAMPS-ESAT
CREUTZWALD G.R.;CREUTZWALD
EPINAL;EPINAL
